Fecha,num_atascos
2024-03-16 06:57:00,6
2024-03-16 07:27:00,6
2024-03-16 07:57:00,7
2024-03-16 08:27:00,6
2024-03-16 08:57:00,9
2024-03-16 09:27:00,12
2024-03-16 09:57:00,15
2024-03-16 10:27:00,17
2024-03-16 10:57:00,16
2024-03-16 11:27:00,16
2024-03-16 11:57:00,16
2024-03-16 12:27:00,19
2024-03-16 12:57:00,15
2024-03-16 13:27:00,11
2024-03-16 13:57:00,8
2024-03-16 14:27:00,16
2024-03-16 14:57:00,12
2024-03-16 15:27:00,14
2024-03-16 15:57:00,16
2024-03-16 16:27:00,20
2024-03-16 16:57:00,15
2024-03-16 17:27:00,17
2024-03-16 17:57:00,18
2024-03-16 18:27:00,15
2024-03-16 18:57:00,16
2024-03-16 19:27:00,15
2024-03-16 19:57:00,14
2024-03-16 20:27:00,9
2024-03-16 20:57:00,9
2024-03-16 21:27:00,12
2024-03-16 21:57:00,3
2024-03-16 22:27:00,2
2024-03-16 22:57:00,4
2024-03-16 23:27:00,2
2024-03-16 23:57:00,2
2024-03-17 00:57:00,1
2024-03-17 01:57:00,1
2024-03-17 03:27:00,1
2024-03-17 07:57:00,1
2024-03-17 08:27:00,2
2024-03-17 08:57:00,1
2024-03-17 09:27:00,2
2024-03-17 10:57:00,3
2024-03-17 11:27:00,4
2024-03-17 11:57:00,4
2024-03-17 12:27:00,8
2024-03-17 12:57:00,8
2024-03-17 13:27:00,4
2024-03-17 13:57:00,2
2024-03-17 14:27:00,3
2024-03-17 14:57:00,8
2024-03-17 15:27:00,6
2024-03-17 15:57:00,8
2024-03-17 16:27:00,9
2024-03-17 16:57:00,7
2024-03-17 17:27:00,8
2024-03-17 17:57:00,3
2024-03-17 18:27:00,10
2024-03-17 18:57:00,8
2024-03-17 19:27:00,10
2024-03-17 19:57:00,5
2024-03-17 20:27:00,1
2024-03-17 20:57:00,2
2024-03-17 21:27:00,1
2024-03-17 22:57:00,1
2024-03-17 23:27:00,1
2024-03-18 02:57:00,1
2024-03-18 04:27:00,2
2024-03-18 05:57:00,2
2024-03-18 06:57:00,14
2024-03-18 07:27:00,10
2024-03-18 07:57:00,14
2024-03-18 08:27:00,6
2024-03-18 08:57:00,8
2024-03-18 09:27:00,4
2024-03-18 09:57:00,7
2024-03-18 10:27:00,6
2024-03-18 10:57:00,10
2024-03-18 11:27:00,11
2024-03-18 11:57:00,9
2024-03-18 12:27:00,10
2024-03-18 12:57:00,10
2024-03-18 13:27:00,9
